Tool,Workload,Description,Model,Run,Query,Iteration,Matches
VIATRA (Local Search),Repair,,railway-repair-1024,5,RouteSensor,3,17395
VIATRA (Local Search),Repair,,railway-repair-1024,5,RouteSensor,4,15754
VIATRA (Local Search),Repair,,railway-repair-1024,5,RouteSensor,5,14267
VIATRA (Local Search),Repair,,railway-repair-1024,5,RouteSensor,6,12920
VIATRA (Local Search),Repair,,railway-repair-1024,5,SemaphoreNeighbor,1,3218
VIATRA (Local Search),Repair,,railway-repair-1024,5,SemaphoreNeighbor,2,2008
VIATRA (Local Search),Repair,,railway-repair-1024,5,SemaphoreNeighbor,3,1321
VIATRA (Local Search),Repair,,railway-repair-1024,5,SemaphoreNeighbor,4,872
VIATRA (Local Search),Repair,,railway-repair-1024,5,SemaphoreNeighbor,5,646
VIATRA (Local Search),Repair,,railway-repair-1024,5,SemaphoreNeighbor,6,471
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchSet,1,3980
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchSet,2,3860
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchSet,3,3663
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchSet,4,3438
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchSet,5,3160
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchSet,6,2911
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchMonitored,1,1215
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchMonitored,2,1094
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchMonitored,3,985
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchMonitored,4,887
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchMonitored,5,799
VIATRA (Local Search),Repair,,railway-repair-1024,5,SwitchMonitored,6,720
